Exportar a archivo plano.
Rango de años: 1960 - 2023
Año	Eventos
1960	26
1961	29
1962	22
1963	85
1964	94
1965	114
1966	165
1967	143
1968	180
1969	144
1970	202
1971	107
1972	118
1973	110
1974	174
1975	85
1976	78
1977	74
1978	84
1979	94
1980	94
1981	107
1982	87
1983	93
1984	160
1985	198
1986	289
1987	366
1988	126
1989	333
1990	481
1991	418
1992	306
1993	287
1994	398
1995	623
1996	641
1997	513
1998	590
1999	339
2000	502
2001	829
2002	341
2003	392
2004	342
2005	686
2006	286
2007	587
2008	286
2009	277
2010	522
2011	1022
2012	757
2013	991
2014	1025
2015	814
2016	946
2017	780
2018	543
2019	565
2020	808
2021	834
2022	501
2023	467
